851.45mm -48.93mm 2694.68mm
853.74mm -47.19mm 2702.11mm
853.47mm -48.49mm 2703.97mm
853.12mm -49.83mm 2699.48mm
853.27mm -49.77mm 2697.19mm
853.46mm -49.77mm 2701.45mm
852.29mm -50.38mm 2702.18mm
850.54mm -50.97mm 2702.9mm
849.88mm -51.17mm 2704.22mm
848.92mm -51.94mm 2703.56mm
848.95mm -52.85mm 2704.16mm
849.04mm -52.95mm 2702.15mm
848.5mm -52.36mm 2699.93mm
847.65mm -53.29mm 2699.19mm
847.51mm -53.48mm 2699.4mm
847.33mm -52.79mm 2697.6mm
845.69mm -52.86mm 2693.94mm
843.2mm -53.64mm 2692.08mm
843.53mm -54.23mm 2694.02mm
844.09mm -53.07mm 2694.2mm
843.21mm -51.23mm 2692.44mm
841.88mm -51mm 2689.21mm
841.6mm -52.13mm 2687.91mm
841.17mm -53mm 2689.19mm
840.57mm -53.56mm 2689.55mm
839.7mm -54.04mm 2687.64mm
840.72mm -54.68mm 2688.89mm
842.25mm -55.86mm 2689.59mm
840.76mm -55.91mm 2686.1mm
838.49mm -56.46mm 2682.92mm
838.51mm -57.37mm 2683.19mm
838.53mm -58.38mm 2685.31mm
839.55mm -58.94mm 2688.34mm
841.15mm -58.2mm 2688.92mm
838.27mm -56.19mm 2683.13mm
833.95mm -53.65mm 2676.22mm
834.39mm -53.27mm 2676.79mm
835mm -54.46mm 2678.99mm
834.67mm -55.13mm 2679.28mm
834.19mm -54.98mm 2679.22mm
834.55mm -55.95mm 2680.18mm
835.11mm -57.83mm 2680.31mm
834.25mm -57.09mm 2678.61mm
832.98mm -55.88mm 2674.94mm
832.88mm -56.87mm 2673.54mm
832.73mm -58mm 2672.42mm
831.97mm -57.83mm 2670.7mm
830.8mm -58.03mm 2670.43mm
830.33mm -58.2mm 2670.75mm
829.68mm -57.81mm 2668.96mm
831mm -58.18mm 2670.52mm
832.9mm -59.96mm 2677.49mm
831.62mm -60.32mm 2678.15mm
829.85mm -59.72mm 2670.5mm
829.22mm -59.48mm 2666.28mm
828.18mm -58.92mm 2666.88mm
827.74mm -58.63mm 2667.67mm
827.1mm -59.29mm 2666.57mm
825.93mm -59.42mm 2664.67mm
824.19mm -59.51mm 2661.09mm
824.8mm -60.53mm 2661.45mm
825.71mm -61.52mm 2662.87mm
824.83mm -61.35mm 2661.52mm
823.48mm -61.34mm 2660.49mm
823.42mm -61.66mm 2661.12mm
823.37mm -62.01mm 2659.72mm
823.24mm -62.15mm 2658.65mm
823.04mm -61.92mm 2658.1mm
821.3mm -61.73mm 2655.17mm
818.68mm -62.09mm 2651.02mm
818.44mm -62.22mm 2650.68mm
818.11mm -61.59mm 2649.23mm
818.24mm -61.68mm 2648.77mm
818.43mm -62.27mm 2648.31mm
818.77mm -62.93mm 2648.33mm
819.22mm -64.38mm 2651.03mm
817.59mm -64.43mm 2649.82mm
815.22mm -63.84mm 2644.35mm
814.65mm -62.81mm 2642.36mm
813.74mm -61.97mm 2641.02mm
812.87mm -62.18mm 2639.62mm
811.51mm -62.69mm 2639.74mm
811.95mm -63.73mm 2641.9mm
812.7mm -64.28mm 2641.99mm
812.67mm -63.56mm 2641.32mm
812.64mm -63.25mm 2639.46mm
811.32mm -63.15mm 2636.14mm
809.27mm -63.07mm 2634.25mm
